[00:00:00.000] (7fc6583ec6c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:00.030] (7fc6583ec6c0) INFO   CONTAINER LIST: [{"NAME": "TEST-MongoDB-Ubuntu", "SNAPSHOTS": "1", "IPV4": "", "IPV6": "", "STATE": "STOPPED", "TYPE": "CONTAINER"}]
[00:00:00.030] (7fc6583ec6c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:00.051] (7fc6583ec6c0) INFO   OUTPUT: [{"DESCRIPTION": "", "": "", "USED BY": "3", "NAME": "default", "STATE": "CREATED", "DRIVER": "btrfs", "SOURCE": "/var/lib/lxd/disks/default.img"}]
[00:00:00.051] (7fc6583ec6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:00.073] (7fc6583ec6c0) INFO   OUTPUT: []
[00:00:00.073] (7fc6583ec6c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:00.102] (7fc6583ec6c0) INFO   DATA: {"Last Used": "2025/07/11 17:05 AEST", "Name": "TEST-MongoDB-Ubuntu", "Status": "STOPPED", "Created": "2025/07/11 17:04 AEST", "Type": "container", "Architecture": "x86_64"}
[00:00:00.102] (7fc6583ec6c0) INFO   OUTPUT: {"Last Used": "2025/07/11 17:05 AEST", "Name": "TEST-MongoDB-Ubuntu", "Status": "STOPPED", "Created": "2025/07/11 17:04 AEST", "Type": "container", "Architecture": "x86_64"}
[00:00:00.102] (7fc6583ec6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:00.122] (7fc6583ec6c0) INFO   OUTPUT: []
