[00:00:00.000] (7fc65a7fe6c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:00.029] (7fc65a7fe6c0) INFO   CONTAINER LIST: [{"NAME": "TEST-MongoDB-Ubuntu", "TYPE": "CONTAINER", "IPV4": "", "STATE": "STOPPED", "IPV6": "", "SNAPSHOTS": "1"}]
[00:00:00.029] (7fc65a7fe6c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:00.049] (7fc65a7fe6c0) INFO   OUTPUT: [{"SOURCE": "/var/lib/lxd/disks/default.img", "DESCRIPTION": "", "USED BY": "3", "STATE": "CREATED", "NAME": "default", "DRIVER": "btrfs", "": ""}]
[00:00:00.049] (7fc65a7fe6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:00.070] (7fc65a7fe6c0) INFO   OUTPUT: []
[00:00:00.071] (7fc65a7fe6c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:00.097] (7fc65a7fe6c0) INFO   DATA: {"Created": "2025/07/11 17:04 AEST", "Last Used": "2025/07/11 17:05 AEST", "Status": "STOPPED", "Type": "container", "Architecture": "x86_64", "Name": "TEST-MongoDB-Ubuntu"}
[00:00:00.097] (7fc65a7fe6c0) INFO   OUTPUT: {"Created": "2025/07/11 17:04 AEST", "Last Used": "2025/07/11 17:05 AEST", "Status": "STOPPED", "Type": "container", "Architecture": "x86_64", "Name": "TEST-MongoDB-Ubuntu"}
[00:00:00.097] (7fc65a7fe6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:00.118] (7fc65a7fe6c0) INFO   OUTPUT: []
